crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three,crudeoil_four,cases_four,vaccines_four,holidays_four,crudeoil_five,cases_five,vaccines_five,holidays_five
52.7700,25421837.0000,1366900.0000,0,52.2700,24967022.0000,1619090.0000,0,53.1300,24777494.0000,1643323.0000,0,53.2400,24585167.0000,1622739.0000,0,52.9800,24399775.0000,1348333.0000,0,52.3600,23709198.0000,1259716.0000,0
52.6100,25566621.0000,1655112.0000,0,52.7700,25421837.0000,1366900.0000,0,52.2700,24967022.0000,1619090.0000,0,53.1300,24777494.0000,1643323.0000,0,53.2400,24585167.0000,1622739.0000,0,52.9800,24399775.0000,1348333.0000,0
52.8500,25721758.0000,1922099.0000,0,52.6100,25566621.0000,1655112.0000,0,52.7700,25421837.0000,1366900.0000,0,52.2700,24967022.0000,1619090.0000,0,53.1300,24777494.0000,1643323.0000,0,53.2400,24585167.0000,1622739.0000,0
52.3400,25889192.0000,1953055.0000,0,52.8500,25721758.0000,1922099.0000,0,52.6100,25566621.0000,1655112.0000,0,52.7700,25421837.0000,1366900.0000,0,52.2700,24967022.0000,1619090.0000,0,53.1300,24777494.0000,1643323.0000,0
52.2000,26055039.0000,1907218.0000,0,52.3400,25889192.0000,1953055.0000,0,52.8500,25721758.0000,1922099.0000,0,52.6100,25566621.0000,1655112.0000,0,52.7700,25421837.0000,1366900.0000,0,52.2700,24967022.0000,1619090.0000,0
53.5500,26445521.0000,1366704.0000,0,52.2000,26055039.0000,1907218.0000,0,52.3400,25889192.0000,1953055.0000,0,52.8500,25721758.0000,1922099.0000,0,52.6100,25566621.0000,1655112.0000,0,52.7700,25421837.0000,1366900.0000,0
54.7600,26559394.0000,1685244.0000,0,53.5500,26445521.0000,1366704.0000,0,52.2000,26055039.0000,1907218.0000,0,52.3400,25889192.0000,1953055.0000,0,52.8500,25721758.0000,1922099.0000,0,52.6100,25566621.0000,1655112.0000,0
55.6900,26682507.0000,2132956.0000,0,54.7600,26559394.0000,1685244.0000,0,53.5500,26445521.0000,1366704.0000,0,52.2000,26055039.0000,1907218.0000,0,52.3400,25889192.0000,1953055.0000,0,52.8500,25721758.0000,1922099.0000,0
56.2300,26806435.0000,2332812.0000,0,55.6900,26682507.0000,2132956.0000,0,54.7600,26559394.0000,1685244.0000,0,53.5500,26445521.0000,1366704.0000,0,52.2000,26055039.0000,1907218.0000,0,52.3400,25889192.0000,1953055.0000,0
56.8500,26938097.0000,2352817.0000,0,56.2300,26806435.0000,2332812.0000,0,55.6900,26682507.0000,2132956.0000,0,54.7600,26559394.0000,1685244.0000,0,53.5500,26445521.0000,1366704.0000,0,52.2000,26055039.0000,1907218.0000,0
57.9700,27225943.0000,1570957.0000,0,56.8500,26938097.0000,2352817.0000,0,56.2300,26806435.0000,2332812.0000,0,55.6900,26682507.0000,2132956.0000,0,54.7600,26559394.0000,1685244.0000,0,53.5500,26445521.0000,1366704.0000,0
58.3600,27320538.0000,1965059.0000,0,57.9700,27225943.0000,1570957.0000,0,56.8500,26938097.0000,2352817.0000,0,56.2300,26806435.0000,2332812.0000,0,55.6900,26682507.0000,2132956.0000,0,54.7600,26559394.0000,1685244.0000,0
58.6800,27416370.0000,2292784.0000,0,58.3600,27320538.0000,1965059.0000,0,57.9700,27225943.0000,1570957.0000,0,56.8500,26938097.0000,2352817.0000,0,56.2300,26806435.0000,2332812.0000,0,55.6900,26682507.0000,2132956.0000,0
58.2400,27522673.0000,2392859.0000,0,58.6800,27416370.0000,2292784.0000,0,58.3600,27320538.0000,1965059.0000,0,57.9700,27225943.0000,1570957.0000,0,56.8500,26938097.0000,2352817.0000,0,56.2300,26806435.0000,2332812.0000,0
59.4700,27622704.0000,2576755.0000,0,58.2400,27522673.0000,2392859.0000,0,58.6800,27416370.0000,2292784.0000,0,58.3600,27320538.0000,1965059.0000,0,57.9700,27225943.0000,1570957.0000,0,56.8500,26938097.0000,2352817.0000,0
60.0500,27891153.0000,1618194.0000,0,59.4700,27622704.0000,2576755.0000,0,58.2400,27522673.0000,2392859.0000,0,58.6800,27416370.0000,2292784.0000,0,58.3600,27320538.0000,1965059.0000,0,57.9700,27225943.0000,1570957.0000,0
61.1400,27961222.0000,1959000.0000,0,60.0500,27891153.0000,1618194.0000,0,59.4700,27622704.0000,2576755.0000,0,58.2400,27522673.0000,2392859.0000,0,58.6800,27416370.0000,2292784.0000,0,58.3600,27320538.0000,1965059.0000,0
60.5200,28032578.0000,1853331.0000,0,61.1400,27961222.0000,1959000.0000,0,60.0500,27891153.0000,1618194.0000,0,59.4700,27622704.0000,2576755.0000,0,58.2400,27522673.0000,2392859.0000,0,58.6800,27416370.0000,2292784.0000,0
59.2400,28110764.0000,1962524.0000,0,60.5200,28032578.0000,1853331.0000,0,61.1400,27961222.0000,1959000.0000,0,60.0500,27891153.0000,1618194.0000,0,59.4700,27622704.0000,2576755.0000,0,58.2400,27522673.0000,2392859.0000,0
61.4900,28296905.0000,1458202.0000,0,59.2400,28110764.0000,1962524.0000,0,60.5200,28032578.0000,1853331.0000,0,61.1400,27961222.0000,1959000.0000,0,60.0500,27891153.0000,1618194.0000,0,59.4700,27622704.0000,2576755.0000,0
61.6700,28368921.0000,1937265.0000,0,61.4900,28296905.0000,1458202.0000,0,59.2400,28110764.0000,1962524.0000,0,60.5200,28032578.0000,1853331.0000,0,61.1400,27961222.0000,1959000.0000,0,60.0500,27891153.0000,1618194.0000,0
63.2200,28443933.0000,2519517.0000,0,61.6700,28368921.0000,1937265.0000,0,61.4900,28296905.0000,1458202.0000,0,59.2400,28110764.0000,1962524.0000,0,60.5200,28032578.0000,1853331.0000,0,61.1400,27961222.0000,1959000.0000,0
63.5300,28521990.0000,2926432.0000,0,63.2200,28443933.0000,2519517.0000,0,61.6700,28368921.0000,1937265.0000,0,61.4900,28296905.0000,1458202.0000,0,59.2400,28110764.0000,1962524.0000,0,60.5200,28032578.0000,1853331.0000,0
61.5000,28600725.0000,3094998.0000,0,63.5300,28521990.0000,2926432.0000,0,63.2200,28443933.0000,2519517.0000,0,61.6700,28368921.0000,1937265.0000,0,61.4900,28296905.0000,1458202.0000,0,59.2400,28110764.0000,1962524.0000,0
